Char	Script
<unk>	Others
<pad>	Others
<ws>	Others
a	Others
e	Others
i	Others
n	Others
t	Others
o	Others
r	Others
s	Others
l	Others
m	Others
d	Others
u	Others
k	Others
g	Others
h	Others
p	Others
ا	Others
y	Others
c	Others
v	Others
b	Others
а	Others
о	Others
ن	Others
و	Others
j	Others
и	Others
་	Others
н	Others
ی	Others
z	Others
ر	Others
f	Others
م	Others
ل	Others
т	Others
е	Others
ت	Others
د	Others
ه	Others
ە	Others
р	Others
w	Others
д	Others
்	Others
ى	Others
ب	Others
ک	Others
м	Others
്	Others
с	Others
л	Others
в	Others
ा	Others
-	Others
س	Others
​	Others
ა	Others
ա	Others
к	Others
у	Others
ي	Others
်	Others
q	Others
ი	Others
α	Others
г	Others
र	Others
х	Others
б	Others
್	Others
á	Others
क	Others
्	Others
া	Others
ე	Others
ն	Others
э	Others
े	Others
க	Others
'	Others
é	Others
్	Others
न	Others
ு	Others
ə	Others
ి	Others
ش	Others
ে	Others
ា	Others
្	Others
ા	Others
τ	Others
з	Others
ق	Others
ä	Others
්	Others
י	Others
ന	Others
র	Others
ו	Others
ི	Others
ు	Others
ಿ	Others
ह	Others
න	Others
ο	Others
ı	Others
న	Others
ా	Others
ು	Others
ε	Others
п	Others
ി	Others
த	Others
ո	Others
ι	Others
ས	Others
й	Others
ி	Others
ि	Others
ക	Others
ད	Others
ز	Others
ë	Others
я	Others
ે	Others
ր	Others
स	Others
ئ	Others
ു	Others
ု	Others
တ	Others
ե	Others
ာ	Others
ි	Others
پ	Others
í	Others
ν	Others
ს	Others
า	Others
म	Others
ನ	Others
း	Others
რ	Others
က	Others
ې	Others
ག	Others
ន	Others
ದ	Others
å	Others
น	Others
ོ	Others
ה	Others
त	Others
ہ	Others
ك	Others
?	Yi
ေ	Others
ो	Others
ч	Others
،	Others
ರ	Others
ව	Others
ိ	Others
่	Others
క	Others
্	Others
მ	Others
خ	Others
ি	Others
ത	Others
ð	Others
ம	Others
ի	Others
ર	Others
ಾ	Others
ర	Others
і	Others
ო	Others
ක	Others
ल	Others
ö	Others
ೆ	Others
ང	Others
ാ	Others
ے	Others
य	Others
ক	Others
ন	Others
ج	Others
ల	Others
ར	Others
ப	Others
x	Others
ü	Others
ל	Others
ತ	Others
့	Others
ම	Others
ం	Others
‌	Others
ी	Others
ۇ	Others
ය	Others
چ	Others
ó	Others
ா	Others
ન	Others
བ	Others
ர	Others
א	Others
ш	Others
ပ	Others
گ	Others
ත	Others
ી	Others
մ	Others
ร	Others
ع	Others
រ	Others
ვ	Others
อ	Others
π	Others
ವ	Others
ف	Others
ь	Others
ж	Others
ប	Others
ര	Others
เ	Others
ક	Others
ා	Others
ಲ	Others
မ	Others
μ	Others
ན	Others
ེ	Others
ρ	Others
ง	Others
κ	Others
ւ	Others
ன	Others
ব	Others
σ	Others
ת	Others
დ	Others
ก	Others
ಗ	Others
န	Others
प	Others
ნ	Others
ட	Others
ત	Others
ं	Others
യ	Others
ல	Others
ु	Others
ত	Others
ม	Others
מ	Others
வ	Others
υ	Others
ێ	Others
ლ	Others
ក	Others
འ	Others
ş	Others
્	Others
ž	Others
ש	Others
ბ	Others
ྱ	Others
ಕ	Others
้	Others
ү	Others
త	Others
ត	Others
š	Others
ר	Others
ស	Others
à	Others
మ	Others
လ	Others
མ	Others
െ	Others
ă	Others
ప	Others
ں	Others
મ	Others
ු	Others
వ	Others
ै	Others
è	Others
կ	Others
ં	Others
င	Others
的	Others
თ	Others
ี	Others
ട	Others
ை	Others
ς	Others
ස	Others
ั	Others
č	Others
ો	Others
ല	Others
غ	Others
ద	Others
ུ	Others
ற	Others
ב	Others
ង	Others
ы	Others
ម	Others
ර	Others
ح	Others
ว	Others
স	Others
ম	Others
ಮ	Others
ဲ	Others
ब	Others
ם	Others
മ	Others
ú	Others
व	Others
ಂ	Others
ရ	Others
ள	Others
പ	Others
ய	Others
വ	Others
ά	Others
λ	Others
ល	Others
ۆ	Others
η	Others
చ	Others
យ	Others
ç	Others
ಸ	Others
द	Others
વ	Others
ھ	Others
נ	Others
ే	Others
ಯ	Others
ွ	Others
ग	Others
ί	Others
յ	Others
ந	Others
þ	Others
ս	Others
ം	Others
ြ	Others
પ	Others
ज	Others
ལ	Others
స	Others
ย	Others
ল	Others
đ	Others
ό	Others
់	Others
အ	Others
տ	Others
ද	Others
ล	Others
，	Others
ท	Others
།	Others
စ	Others
য	Others
।	Others
ျ	Others
ප	Others
ෙ	Others
ှ	Others
ള	Others
య	Others
ө	Others
ц	Others
უ	Others
ခ	Others
ట	Others
გ	Others
ങ	Others
ด	Others
ේ	Others
ુ	Others
כ	Others
ಳ	Others
έ	Others
‍	Others
ල	Others
េ	Others
প	Others
ք	Others
ើ	Others
ু	Others
સ	Others
ю	Others
ុ	Others
լ	Others
ទ	Others
ో	Others
ယ	Others
ំ	Others
ą	Others
の	Others
ិ	Others
ส	Others
ય	Others
ါ	Others
ค	Others
သ	Others
గ	Others
æ	Others
ח	Others
վ	Others
ព	Others
ச	Others
আ	Others
ට	Others
డ	Others
པ	Others
ø	Others
જ	Others
أ	Others
ห	Others
റ	Others
ة	Others
හ	Others
ണ	Others
ิ	Others
ီ	Others
γ	Others
ע	Others
អ	Others
ಹ	Others
我	Others
ъ	Others
ะ	Others
ý	Others
এ	Others
ැ	Others
ཡ	Others
ց	Others
ص	Others
ğ	Others
ต	Others
ც	Others
ד	Others
ച	Others
ྲ	Others
შ	Others
സ	Others
ô	Others
ដ	Others
δ	Others
ط	Others
គ	Others
ট	Others
भ	Others
ไ	Others
щ	Others
দ	Others
ಬ	Others
ڭ	Others
ច	Others
հ	Others
अ	Others
แ	Others
ជ	Others
હ	Others
ី	Others
ป	Others
이	Others
ф	Others
च	Others
ě	Others
छ	Others
。	Others
ග	Others
บ	Others
લ	Others
で	Others
դ	Others
ಡ	Others
છ	Others
다	Others
ೇ	Others
අ	Others
அ	Others
ણ	Others
វ	Others
য়	Others
ư	Others
آ	Others
ಅ	Others
ே	Others
ཁ	Others
उ	Others
ק	Others
ė	Others
ტ	Others
ή	Others
ω	Others
િ	Others
一	Others
ಪ	Others
അ	Others
ো	Others
ხ	Others
ę	Others
จ	Others
இ	Others
ذ	Others
ए	Others
။	Others
ీ	Others
是	Others
అ	Others
す	Others
ែ	Others
는	Others
ł	Others
थ	Others
니	Others
ញ	Others
